Time	stationReference	region	ngr	stationName	parameter	qualifier	units	value	
2014-02-02T00:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.444	
2014-02-02T00:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	5.035	
2014-02-02T00:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.443	
2014-02-02T00:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	5.030	
2014-02-02T00:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.441	
2014-02-02T00:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	5.032	
2014-02-02T00:45:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.440	
2014-02-02T00:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	5.026	
2014-02-02T01:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.438	
2014-02-02T01:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	5.024	
2014-02-02T01:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.436	
2014-02-02T01:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	5.021	
2014-02-02T01:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.435	
2014-02-02T01:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	5.021	
2014-02-02T01:45:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.433	
2014-02-02T01:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	5.020	
2014-02-02T02:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.431	
2014-02-02T02:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	5.020	
